ID,Time,Emotion,Probabilities
0,2023-06-12 01:43:18.054953,happy,"[1.0905735e-03 2.5722740e-04 3.0068771e-03 9.8911011e-01 1.8403279e-03
 1.6277710e-04 4.5321737e-03]"
0,2023-06-12 01:43:18.304944,happy,"[2.8992424e-04 4.8534817e-05 6.8629120e-04 9.9636477e-01 5.0343812e-04
 4.8232396e-05 2.0588434e-03]"
0,2023-06-12 01:43:18.558945,disgust,"[0.15745094 0.31123245 0.1973788  0.12928191 0.07244827 0.07175724
 0.06045031]"
0,2023-06-12 01:43:18.813945,happy,"[0.10829011 0.11552267 0.20098586 0.2656233  0.09006047 0.00990464
 0.2096129 ]"
0,2023-06-12 01:43:19.062968,happy,"[0.02009831 0.01218934 0.0678325  0.8090005  0.02212151 0.0038282
 0.06492963]"
0,2023-06-12 01:43:19.329944,happy,"[0.01880753 0.00472117 0.07133344 0.7930804  0.03378391 0.00583869
 0.07243495]"
0,2023-06-12 01:43:19.604442,happy,"[0.00778447 0.00247983 0.02738144 0.92781365 0.00936138 0.00155785
 0.02362139]"
0,2023-06-12 01:43:19.871955,happy,"[2.4946162e-03 6.5884634e-04 1.0779795e-02 9.7442663e-01 3.2408806e-03
 7.2324648e-04 7.6760422e-03]"
0,2023-06-12 01:43:20.238839,happy,"[4.5681305e-04 5.3268319e-05 1.0748076e-03 9.9542063e-01 6.1199506e-04
 1.0276240e-04 2.2797575e-03]"
0,2023-06-12 01:43:20.495510,happy,"[6.3101790e-04 1.0996256e-04 1.4572098e-03 9.9408489e-01 8.1285666e-04
 1.0732046e-04 2.7967424e-03]"
0,2023-06-12 01:43:20.740783,happy,"[9.8102936e-04 8.0193531e-05 1.8262706e-03 9.9356985e-01 1.1028562e-03
 1.2659855e-04 2.3131447e-03]"
0,2023-06-12 01:43:20.996787,happy,"[5.3416146e-04 3.7818001e-05 9.0007682e-04 9.9547231e-01 6.7332294e-04
 7.1952294e-05 2.3103433e-03]"
0,2023-06-12 01:43:21.256654,happy,"[2.5948926e-04 2.5829810e-05 4.5398186e-04 9.9772114e-01 2.5412181e-04
 3.5480512e-05 1.2499441e-03]"
0,2023-06-12 01:43:21.514640,happy,"[1.6515242e-04 1.8149094e-05 3.3040583e-04 9.9813473e-01 2.6492932e-04
 2.8388486e-05 1.0581076e-03]"
0,2023-06-12 01:43:21.775638,happy,"[0.01377299 0.00394675 0.0283797  0.94165117 0.00305026 0.00331138
 0.00588784]"
0,2023-06-12 01:43:22.039817,happy,"[0.01251649 0.03050886 0.03597095 0.8970069  0.00473954 0.00819456
 0.01106266]"
0,2023-06-12 01:43:22.325820,happy,"[0.00396693 0.00345128 0.03297032 0.943829   0.00219331 0.00735145
 0.00623774]"
0,2023-06-12 01:43:22.594654,happy,"[0.01145721 0.00742957 0.04922422 0.9006773  0.00689594 0.01269768
 0.01161798]"
0,2023-06-12 01:43:22.849053,happy,"[0.02363937 0.01887871 0.05780845 0.86175674 0.00927922 0.01050008
 0.01813746]"
0,2023-06-12 01:43:23.105368,happy,"[0.02322378 0.00505229 0.04793106 0.88629305 0.01297867 0.00214081
 0.02238033]"
0,2023-06-12 01:43:23.351362,happy,"[0.01027934 0.00388384 0.02210822 0.92667127 0.00807818 0.00137989
 0.02759931]"
0,2023-06-12 01:43:23.609363,happy,"[4.6499469e-03 1.4309267e-03 9.3905767e-03 9.5365602e-01 5.0045922e-03
 6.5322878e-04 2.5214674e-02]"
0,2023-06-12 01:43:23.867362,happy,"[2.1869354e-03 6.3479936e-04 7.9672718e-03 9.6842849e-01 4.0959055e-03
 3.4455623e-04 1.6341910e-02]"
0,2023-06-12 01:43:24.107384,happy,"[4.8551685e-03 3.3109547e-03 2.3993652e-02 9.1320151e-01 1.2459162e-02
 8.6504093e-04 4.1314531e-02]"
0,2023-06-12 01:43:24.362080,happy,"[0.02077476 0.01080897 0.09902775 0.7245291  0.02300216 0.00165507
 0.12020223]"
0,2023-06-12 01:43:24.610081,neutral,"[0.10542053 0.0283827  0.1192098  0.32228777 0.06230438 0.00735488
 0.35503986]"
0,2023-06-12 01:43:24.862080,neutral,"[0.06818319 0.01509664 0.21554363 0.18957178 0.09146924 0.00869566
 0.41143984]"
0,2023-06-12 01:43:25.106079,happy,"[0.02545106 0.00267932 0.15295914 0.38727996 0.07346049 0.00344636
 0.35472357]"
0,2023-06-12 01:43:25.357734,happy,"[1.1405081e-02 3.3211780e-03 4.3530323e-02 8.7399852e-01 1.9239798e-02
 8.3427585e-04 4.7670756e-02]"
0,2023-06-12 01:43:25.619293,happy,"[1.6978969e-03 1.7926208e-04 3.9749891e-03 9.7789532e-01 3.1310662e-03
 2.4455995e-04 1.2876938e-02]"
0,2023-06-12 01:43:25.860420,happy,"[3.1109117e-03 1.7415945e-04 4.6941168e-03 9.6887201e-01 1.8502721e-03
 2.9668718e-04 2.1001840e-02]"
0,2023-06-12 01:43:26.112589,happy,"[3.5588264e-03 4.7740428e-04 7.7733658e-03 9.5735437e-01 3.9276779e-03
 5.7814148e-04 2.6330234e-02]"
